Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment
2393,257,14,98.1,2,4,3,243
2394,38,29,221.0,4,4,4,444
2395,408,5,107.60000000000001,1,1,3,113
2396,496,11,79.85000000000001,1,3,3,133
2397,87,6,51.94,3,1,2,312
2398,356,7,26.2,1,2,1,121
2399,321,11,139.29999999999998,1,3,4,134
2400,283,12,154.14999999999998,1,3,4,134
2401,11,10,111.29999999999998,4,3,3,433
2402,115,10,66.83,3,3,2,332
2403,29,13,142.1,4,3,4,434
2404,76,11,81.29999999999998,3,3,3,333
2406,23,17,110.96000000000002,4,4,3,443
2407,295,10,76.3,1,3,3,133
2408,112,21,189.93,3,4,4,344
2410,39,11,78.0,4,3,3,433
2411,618,6,48.4,1,1,2,112
2412,292,7,71.30000000000001,1,2,2,122
2413,17,14,86.64999999999998,4,4,3,443
2414,574,2,21.0,1,1,1,111
2415,144,14,133.89999999999998,2,4,4,244
2416,55,9,81.60000000000001,4,2,3,423
2417,422,2,11.4,1,1,1,111
2419,130,9,93.79999999999998,3,2,3,323
2420,94,10,70.0,3,3,2,332
2421,38,21,150.29999999999998,4,4,4,444
2422,49,11,62.4,4,3,2,432
2423,517,4,34.8,1,1,1,111
2424,458,6,68.10000000000001,1,1,2,112
2425,313,4,9.099999999999998,1,1,1,111
2426,113,17,203.50000000000003,3,4,4,344
2427,187,9,46.15,2,2,2,222
2428,131,17,85.45000000000002,3,4,3,343
2429,184,4,33.96,2,1,1,211
2430,344,12,98.4,1,3,3,133
2431,64,13,82.97000000000001,3,3,3,333
2432,18,14,136.99999999999997,4,4,4,444
2433,3,31,375.31,4,4,4,444
2434,103,7,86.5,3,2,3,323
2435,92,12,157.05,3,3,4,334
2436,36,11,86.60000000000001,4,3,3,433
2437,45,15,134.7,4,4,4,444
2438,313,4,51.6,1,1,2,112
2439,60,10,92.33999999999999,3,3,3,333
2440,194,25,223.29000000000005,2,4,4,244
2441,180,15,73.91999999999999,2,4,2,242
2442,674,2,13.4,1,1,1,111
2443,45,21,241.7,4,4,4,444
2444,196,8,56.43000000000001,2,2,2,222
2445,427,8,87.6,1,2,3,123
2446,113,9,79.80000000000001,3,2,3,323
2447,2,21,204.00000000000003,4,4,4,444
2448,1,17,74.9,4,4,3,443
2449,175,8,85.60000000000001,2,2,3,223
2450,152,6,49.699999999999996,2,1,2,212
2451,458,7,30.65,1,2,1,121
2452,141,11,129.16000000000003,3,3,4,334
2453,9,15,114.69,4,4,3,443
2454,50,20,143.1,4,4,4,444
2455,360,4,45.7,1,1,2,112
2456,655,2,12.5,1,1,1,111
2457,382,6,23.0,1,1,1,111
2458,129,6,55.7,3,1,2,312
2459,99,13,100.7,3,3,3,333
2460,12,9,70.70000000000002,4,2,2,422
2461,87,5,38.3,3,1,1,311
2462,280,5,67.78,2,1,2,212
2463,4,6,19.200000000000003,4,1,1,411
2464,164,8,76.70000000000002,2,2,3,223
2465,3,11,124.30000000000001,4,3,4,434
2466,81,9,150.2,3,2,4,324
2467,84,12,86.8,3,3,3,333
2468,292,8,29.8,1,2,1,121
2469,98,13,104.79999999999998,3,3,3,333
2470,230,11,64.3,2,3,2,232
2471,139,9,57.3,3,2,2,322
2472,347,8,57.1,1,2,2,122
2473,182,6,26.400000000000002,2,1,1,211
2474,324,2,11.0,1,1,1,111
2475,50,14,126.79999999999998,4,4,4,444
2476,26,10,37.849999999999994,4,3,1,431
2477,209,7,26.900000000000002,2,2,1,221
2478,484,5,111.45000000000002,1,1,3,113
2479,351,10,40.05,1,3,1,131
2480,101,13,46.70000000000001,3,3,2,332
2481,36,6,74.75999999999999,4,1,2,412
2482,708,3,6.9,1,1,1,111
2483,63,8,75.5,3,2,3,323
2484,140,14,136.75,3,4,4,344
2485,226,7,46.45,2,2,2,222
2486,35,5,41.150000000000006,4,1,1,411
2487,174,4,18.099999999999998,2,1,1,211
2488,133,7,69.5,3,2,2,322
2489,8,10,62.42,4,3,2,432
2490,12,6,19.92,4,1,1,411
2492,50,21,210.64000000000004,4,4,4,444
2493,145,5,20.700000000000003,2,1,1,211
2494,118,17,135.8,3,4,4,344
2495,155,11,83.7,2,3,3,233
2496,28,8,99.35999999999999,4,2,3,423
2497,511,2,4.9,1,1,1,111
2499,38,15,159.22,4,4,4,444
2500,24,9,85.55000000000001,4,2,3,423
2501,112,4,23.0,3,1,1,311
2502,259,14,97.62000000000002,2,4,3,243
2503,325,2,63.9,1,1,2,112
2504,138,11,127.70000000000002,3,3,4,334
2505,30,11,76.9,4,3,3,433
2506,3,8,56.9,4,2,2,422
2507,0,13,125.60000000000001,4,3,4,434
2508,3,9,61.250000000000014,4,2,2,422
2509,168,8,105.1,2,2,3,223
2510,92,14,121.80000000000001,3,4,4,344
2511,169,21,202.74,2,4,4,244
2512,119,26,208.22000000000003,3,4,4,344
2513,15,12,80.3,4,3,3,433
2514,58,11,81.1,3,3,3,333
2515,161,12,96.27999999999999,2,3,3,233
2516,152,8,48.3,2,2,2,222
2517,18,27,256.25,4,4,4,444
2518,180,12,100.49999999999999,2,3,3,233
2519,210,14,99.69999999999999,2,4,3,243
2520,24,6,34.77,4,1,1,411
2521,16,10,70.2,4,3,2,432
2522,509,8,49.3,1,2,2,122
2523,179,15,130.06,2,4,4,244
2524,25,28,235.45000000000005,4,4,4,444
2525,44,11,97.53999999999999,4,3,3,433
2526,75,4,21.1,3,1,1,311
2527,141,5,53.099999999999994,3,1,2,312
2528,72,7,65.3,3,2,2,322
2530,122,11,77.54,3,3,3,333
2531,493,4,57.5,1,1,2,112
2532,177,12,90.74999999999999,2,3,3,233
2533,372,7,70.4,1,2,2,122
2534,52,14,123.52,4,4,4,444
2535,50,13,95.5,4,3,3,433
2536,53,7,59.300000000000004,4,2,2,422
2537,77,8,35.6,3,2,1,321
2538,156,7,43.2,2,2,1,221
2539,45,4,20.6,4,1,1,411
2540,300,17,132.7,1,4,4,144
2541,474,6,28.2,1,1,1,111
2542,36,8,71.0,4,2,2,422
2543,139,10,85.85000000000001,3,3,3,333
2544,335,9,74.60000000000001,1,2,2,122
2545,42,12,43.35,4,3,1,431
2546,237,5,37.8,2,1,1,211
2547,36,12,148.6,4,3,4,434
2548,5,10,63.449999999999996,4,3,2,432
2549,128,16,201.92000000000004,3,4,4,344
2550,7,16,163.14,4,4,4,444
2551,70,6,83.60000000000001,3,1,3,313
2552,359,13,119.52,1,3,4,134
2553,163,14,73.23000000000002,2,4,2,242
2555,7,16,196.8,4,4,4,444
2556,124,10,95.80000000000001,3,3,3,333
2557,68,6,58.400000000000006,3,1,2,312
2558,140,2,10.6,3,1,1,311
2559,429,6,72.7,1,1,2,112
2560,34,24,165.51999999999998,4,4,4,444
2561,133,9,74.85,3,2,2,322
2562,411,10,111.19999999999999,1,3,3,133
2563,1,14,98.54999999999998,4,4,3,443
2564,169,10,87.8,2,3,3,233
2565,93,12,75.74,3,3,3,333
2566,333,3,44.92,1,1,2,112
2567,526,2,22.400000000000002,1,1,1,111
2568,82,19,167.29999999999998,3,4,4,344
2569,167,7,91.1,2,2,3,223
2570,128,11,86.4,3,3,3,333
2571,166,8,76.10000000000001,2,2,3,223
2572,217,2,39.4,2,1,1,211
2573,361,16,157.39999999999998,1,4,4,144
2574,19,11,98.44000000000001,4,3,3,433
2575,292,4,74.2,1,1,2,112
2576,370,4,52.3,1,1,2,112
2577,66,8,29.450000000000003,3,2,1,321
2578,29,18,155.76000000000002,4,4,4,444
2579,266,6,92.29999999999998,2,1,3,213
2580,43,12,124.00000000000003,4,3,4,434
2581,16,12,99.85000000000001,4,3,3,433
2582,46,12,143.8,4,3,4,434
2583,279,5,67.5,2,1,2,212
2584,249,20,153.97000000000006,2,4,4,244
2585,291,10,35.4,1,3,1,131
2586,65,5,53.1,3,1,2,312
2587,211,13,84.25,2,3,3,233
2588,2,5,42.8,4,1,1,411
2589,245,19,99.44,2,4,3,243
2590,14,10,104.5,4,3,3,433
2591,385,4,6.6000000000000005,1,1,1,111
2592,90,16,141.94000000000003,3,4,4,344
2593,443,6,41.32,1,1,1,111
2594,223,8,49.300000000000004,2,2,2,222
2595,341,17,134.45000000000002,1,4,4,144
2597,137,15,125.25,3,4,4,344
2598,49,3,59.1,4,1,2,412
2599,38,15,160.1,4,4,4,444
2600,14,19,158.89999999999998,4,4,4,444
2601,69,19,197.0,3,4,4,344
2602,19,17,145.44,4,4,4,444
2603,550,4,31.86,1,1,1,111
2604,101,14,103.09999999999998,3,4,3,343
2605,487,6,33.349999999999994,1,1,1,111
2606,338,8,60.7,1,2,2,122
2607,405,4,19.3,1,1,1,111
2608,102,8,43.400000000000006,3,2,1,321
2609,126,5,22.6,3,1,1,311
2610,70,7,75.03999999999999,3,2,3,323
2611,366,7,38.35,1,2,1,121
2612,213,18,149.24999999999997,2,4,4,244
2613,129,17,75.45,3,4,3,343
2614,188,2,9.0,2,1,1,211
2615,580,4,27.2,1,1,1,111
2616,228,8,72.0,2,2,2,222
2617,222,16,126.85,2,4,4,244
2618,27,16,163.9,4,4,4,444
2619,371,7,43.559999999999995,1,2,1,121
2620,16,8,53.550000000000004,4,2,2,422
2621,459,4,25.200000000000003,1,1,1,111
2622,90,12,74.7,3,3,2,332
2623,81,9,65.5,3,2,2,322
2624,134,4,61.8,3,1,2,312
2625,42,31,243.06000000000003,4,4,4,444
2626,508,7,39.00000000000001,1,2,1,121
2627,60,8,42.2,3,2,1,321
2628,393,2,18.0,1,1,1,111
2629,24,19,178.54000000000002,4,4,4,444
2630,318,7,77.24,1,2,3,123
2631,94,7,30.500000000000007,3,2,1,321
2632,98,24,254.79999999999998,3,4,4,344
2633,33,16,102.20000000000002,4,4,3,443
2634,252,5,36.9,2,1,1,211
2635,104,6,67.2,3,1,2,312
2636,110,10,78.0,3,3,3,333
2637,468,4,12.9,1,1,1,111
2638,446,5,83.40000000000002,1,1,3,113
2639,48,8,61.1,4,2,2,422
2640,252,2,4.800000000000001,2,1,1,211
2641,304,12,96.1,1,3,3,133
2642,273,7,43.6,2,2,1,221
2643,29,12,86.55,4,3,3,433
2644,588,7,43.9,1,2,2,122
2645,186,19,157.60000000000002,2,4,4,244
2646,49,7,100.6,4,2,3,423
2648,52,13,152.7,4,3,4,434
2649,32,9,85.2,4,2,3,423
2650,38,16,193.71,4,4,4,444
2651,475,4,32.12,1,1,1,111
2652,4,13,116.69,4,3,4,434
2653,23,12,77.15,4,3,3,433
2654,35,19,145.3,4,4,4,444
2655,182,5,45.760000000000005,2,1,2,212
2656,14,10,105.10000000000002,4,3,3,433
2657,223,6,57.2,2,1,2,212
2658,75,7,26.9,3,2,1,321
2659,22,16,172.97000000000003,4,4,4,444
2660,475,4,86.20000000000002,1,1,3,113
2661,243,8,71.9,2,2,2,222
2662,390,6,33.4,1,1,1,111
2663,70,27,208.82000000000002,3,4,4,344
2664,101,8,62.900000000000006,3,2,2,322
2665,261,4,84.66,2,1,3,213
2666,16,16,110.55,4,4,3,443
2667,197,5,38.29,2,1,1,211
2668,394,2,4.2,1,1,1,111
2669,97,11,62.10000000000001,3,3,2,332
2670,245,6,47.10000000000001,2,1,2,212
2671,156,8,56.3,2,2,2,222
2672,34,12,121.79999999999998,4,3,4,434
2673,20,8,36.1,4,2,1,421
2674,483,6,41.699999999999996,1,1,1,111
2675,106,7,18.199999999999996,3,2,1,321
2676,53,14,129.89999999999998,4,4,4,444
2677,7,6,33.6,4,1,1,411
2678,32,11,99.05000000000001,4,3,3,433
2679,379,6,57.39,1,1,2,112
2680,141,8,70.10000000000001,3,2,2,322
2681,242,6,72.0,2,1,2,212
2682,29,11,49.2,4,3,2,432
2683,141,8,82.7,3,2,3,323
2684,353,3,7.5,1,1,1,111
2685,84,12,60.400000000000006,3,3,2,332
2686,375,4,27.0,1,1,1,111
2687,107,16,140.60000000000002,3,4,4,344
2688,38,13,100.10000000000001,4,3,3,433
2689,244,15,85.4,2,4,3,243
2690,56,17,185.49999999999997,4,4,4,444
2691,56,10,104.3,4,3,3,433
2692,82,10,125.6,3,3,4,334
2693,58,11,101.4,3,3,3,333
2694,36,19,161.76000000000005,4,4,4,444
2695,179,8,74.29999999999998,2,2,2,222
2696,119,11,76.00000000000001,3,3,3,333
2697,541,4,78.7,1,1,3,113
2698,340,8,61.800000000000004,1,2,2,122
2699,32,10,60.550000000000004,4,3,2,432
2700,45,9,114.88,4,2,3,423
2701,501,11,104.69000000000001,1,3,3,133
2702,217,9,69.30000000000001,2,2,2,222
2703,100,9,73.0,3,2,2,322
2704,42,6,39.8,4,1,1,411
2705,44,6,72.94,4,1,2,412
2706,88,23,260.9,3,4,4,344
2707,73,17,123.56,3,4,4,344
2708,316,6,79.5,1,1,3,113
2709,132,11,46.449999999999996,3,3,2,332
2710,77,4,19.5,3,1,1,311
2711,108,14,107.2,3,4,3,343
2712,95,13,67.53999999999999,3,3,2,332
2713,134,10,159.3,3,3,4,334
2714,290,2,36.7,1,1,1,111
2715,177,15,117.39999999999999,2,4,4,244
2716,98,16,192.1,3,4,4,344
2717,727,2,8.4,1,1,1,111
2718,201,20,170.72,2,4,4,244
2719,214,14,98.00000000000001,2,4,3,243
2720,552,2,14.9,1,1,1,111
2721,142,6,41.300000000000004,2,1,1,211
2722,412,4,22.1,1,1,1,111
2723,57,10,157.5,4,3,4,434
2724,244,6,81.2,2,1,3,213
2725,702,4,33.400000000000006,1,1,1,111
2726,395,8,69.92,1,2,2,122
2727,15,10,108.39999999999999,4,3,3,433
2728,32,5,50.4,4,1,2,412
2729,97,18,236.3,3,4,4,344
2730,50,11,107.11000000000001,4,3,3,433
2731,263,4,18.0,2,1,1,211
2732,272,10,68.89999999999999,2,3,2,232
2733,161,6,29.3,2,1,1,211
2734,275,3,29.14,2,1,1,211
2735,212,2,7.4,2,1,1,211
2736,4,23,267.4,4,4,4,444
2737,369,6,37.73,1,2,1,121
2738,51,21,220.00000000000009,4,4,4,444
2739,102,4,37.2,3,1,1,311
2740,181,4,53.8,2,1,2,212
2741,93,12,61.5,3,3,2,332
2742,81,9,49.85,3,2,2,322
2743,142,17,312.46000000000004,2,4,4,244
2744,225,8,69.5,2,2,2,222
2745,245,15,144.6,2,4,4,244
2746,215,15,167.15,2,4,4,244
2747,122,12,131.3,3,3,4,334
2748,637,2,20.400000000000002,1,1,1,111
2749,191,7,65.10000000000001,2,2,2,222
2750,107,8,62.95,3,2,2,322
2751,330,12,104.77,1,3,3,133
2752,81,2,24.700000000000003,3,1,1,311
2753,113,8,48.2,3,2,2,322
2754,242,10,82.10000000000001,2,3,3,233
2755,227,15,160.29999999999998,2,4,4,244
2756,37,10,97.89999999999999,4,3,3,433
2757,14,10,127.80000000000001,4,3,4,434
2758,41,20,212.9,4,4,4,444
2759,156,2,8.0,2,1,1,211
2760,144,23,135.4,2,4,4,244
2761,249,15,99.18,2,4,3,243
2762,12,9,82.35000000000001,4,2,3,423
2763,320,10,53.54000000000001,1,3,2,132
2764,2,13,92.75,4,3,3,433
2765,30,12,156.25,4,3,4,434
2766,133,7,75.19999999999999,3,2,3,323
2767,337,5,23.1,1,1,1,111
2768,363,7,52.1,1,2,2,122
2769,152,12,132.63,2,3,4,234
2770,168,5,37.5,2,1,1,211
2771,126,7,133.7,3,2,4,324
2772,26,16,237.20000000000002,4,4,4,444
2773,579,2,14.5,1,1,1,111
2774,63,7,27.959999999999997,3,2,1,321
2775,54,10,83.30000000000001,4,3,3,433
2776,595,4,25.139999999999997,1,1,1,111
2777,212,10,86.2,2,3,3,233
2778,549,9,37.589999999999996,1,2,1,121
2779,3,22,223.55,4,4,4,444
2780,80,6,66.19999999999999,3,2,2,322
2781,212,13,88.5,2,3,3,233
2782,204,9,70.7,2,2,2,222
2783,274,2,7.8,2,1,1,211
2784,47,13,133.95,4,3,4,434
2785,73,10,132.96,3,3,4,334
2786,280,7,71.30000000000001,2,2,2,222
2787,189,16,155.60000000000002,2,4,4,244
2788,118,9,36.60000000000001,3,2,1,321
2789,212,23,209.60000000000002,2,4,4,244
2790,0,8,80.5,4,2,3,423
2791,404,2,38.1,1,1,1,111
2792,67,15,92.9,3,4,3,343
2794,92,18,236.4,3,4,4,344
2795,238,12,73.99999999999999,2,3,2,232
2796,74,12,69.00000000000001,3,3,2,332
2797,109,5,50.699999999999996,3,1,2,312
2798,130,8,29.2,3,2,1,321
2799,111,21,161.7,3,4,4,344
2800,89,13,78.15,3,3,3,333
2801,446,8,22.35,1,2,1,121
2802,380,8,59.2,1,2,2,122
2803,430,11,96.62,1,3,3,133
2804,346,9,71.6,1,2,2,122
2805,122,11,77.85,3,3,3,333
2806,633,10,98.5,1,3,3,133
2807,180,11,63.20000000000001,2,3,2,232
2808,239,6,14.799999999999999,2,2,1,221
2809,264,6,69.35,2,2,2,222
2810,0,17,171.39999999999998,4,4,4,444
2811,310,20,305.71999999999997,1,4,4,144
2812,387,4,50.3,1,1,2,112
2813,44,16,110.19999999999999,4,4,3,443
2814,70,17,152.41999999999996,3,4,4,344
2815,111,8,101.80000000000001,3,2,3,323
2816,80,24,116.29999999999998,3,4,4,344
2817,8,10,98.80000000000001,4,3,3,433
2818,38,6,45.800000000000004,4,2,2,422
2820,401,2,24.2,1,1,1,111
2822,12,4,23.48,4,1,1,411
2823,439,5,63.300000000000004,1,1,2,112
2824,23,9,64.2,4,2,2,422
2825,1,10,129.89999999999998,4,3,4,434
2826,482,2,13.4,1,1,1,111
2827,60,8,49.22,3,2,2,322
2828,697,2,26.8,1,1,1,111
2829,11,10,71.89999999999999,4,3,2,432
2830,191,11,71.2,2,3,2,232
2831,358,9,52.2,1,2,2,122
2832,58,11,86.65,3,3,3,333
2833,138,4,52.3,3,1,2,312
2834,4,10,177.32,4,3,4,434
2835,82,19,148.52,3,4,4,344
2836,1,12,143.12000000000003,4,3,4,434
2837,102,11,56.449999999999996,3,3,2,332
2838,50,7,49.8,4,2,2,422
2839,60,8,180.29999999999998,3,2,4,324
2840,145,15,117.89999999999999,2,4,4,244
2841,10,2,9.0,4,1,1,411
2842,154,4,67.8,2,1,2,212
2843,16,9,55.3,4,2,2,422
2844,223,2,18.8,2,1,1,211
2845,90,4,31.900000000000002,3,1,1,311
2846,98,6,58.36,3,2,2,322
2847,37,13,167.0,4,3,4,434
2848,45,4,21.400000000000002,4,1,1,411
2849,36,11,133.35000000000002,4,3,4,434
2850,278,9,121.6,2,2,4,224
2851,105,29,277.4,3,4,4,344
2852,205,2,19.5,2,1,1,211
2853,408,5,26.900000000000002,1,1,1,111
2854,325,11,144.02,1,3,4,134
2855,52,23,214.99999999999997,4,4,4,444
2856,131,4,32.400000000000006,3,1,1,311
2857,256,15,177.79999999999995,2,4,4,244
2858,493,3,36.8,1,1,1,111
2859,322,4,46.900000000000006,1,1,2,112
2860,10,14,127.48000000000002,4,4,4,444
2861,28,12,70.55,4,3,2,432
2862,144,6,28.98,2,2,1,221
2863,541,7,113.00000000000001,1,2,3,123
2864,149,10,76.04,2,3,3,233
2865,56,8,86.8,4,2,3,423
2866,623,2,25.0,1,1,1,111
2867,7,15,98.22000000000001,4,4,3,443
2868,26,21,163.9,4,4,4,444
2869,20,14,117.1,4,4,4,444
2870,66,13,228.6,3,3,4,334
2871,10,8,77.25,4,2,3,423
2872,102,8,82.69,3,2,3,323
2873,118,16,105.00000000000001,3,4,3,343
2874,112,16,88.1,3,4,3,343
2875,59,7,57.400000000000006,3,2,2,322
2876,61,12,77.32000000000001,3,3,3,333
2877,264,6,75.5,2,2,3,223
2878,421,4,11.5,1,1,1,111
2879,2,13,100.70000000000002,4,3,3,433
2880,57,8,66.49999999999999,4,2,2,422
2881,577,4,28.65,1,1,1,111
2882,188,11,69.75,2,3,2,232
2883,79,10,85.7,3,3,3,333
2884,2,8,84.45,4,2,3,423
2885,41,14,116.00000000000003,4,4,4,444
2886,383,4,41.400000000000006,1,1,1,111
2887,347,4,31.1,1,1,1,111
2888,10,9,35.9,4,2,1,421
2889,344,2,11.100000000000001,1,1,1,111
2890,248,6,51.86,2,2,2,222
2891,181,5,54.15,2,1,2,212
2892,405,5,38.0,1,1,1,111
2893,18,11,101.10000000000002,4,3,3,433
2894,291,2,16.0,1,1,1,111
2895,138,3,36.3,3,1,1,311
2897,337,6,96.60000000000001,1,2,3,123
2898,525,7,19.700000000000003,1,2,1,121
2899,36,11,59.60000000000001,4,3,2,432
2900,263,12,72.72,2,3,2,232
2901,508,8,96.15,1,2,3,123
2902,136,7,76.7,3,2,3,323
2903,144,12,54.39999999999999,2,3,2,232
2904,104,10,65.80000000000001,3,3,2,332
2905,69,6,85.8,3,2,3,323
2906,175,11,94.35,2,3,3,233
2907,376,17,124.05,1,4,4,144
2908,290,8,53.2,1,2,2,122
2909,236,11,105.70000000000002,2,3,3,233
2910,26,15,95.79999999999998,4,4,3,443
2911,169,4,10.850000000000001,2,1,1,211
2912,336,11,61.790000000000006,1,3,2,132
2913,179,4,40.03,2,1,1,211
2914,30,9,67.1,4,2,2,422
2915,421,4,85.8,1,1,3,113
2916,200,15,99.39000000000001,2,4,3,243
2917,582,6,65.7,1,2,2,122
2918,19,21,252.60000000000002,4,4,4,444
2919,183,4,32.5,2,1,1,211
2920,80,11,60.3,3,3,2,332
2921,398,9,70.4,1,2,2,122
2922,4,6,46.7,4,2,2,422
2923,423,5,67.60000000000001,1,1,2,112
2924,41,11,63.16,4,3,2,432
2925,19,16,111.8,4,4,3,443
2926,52,7,34.15,4,2,1,421
2927,330,10,60.36,1,3,2,132
2928,99,9,164.00000000000003,3,2,4,324
2929,434,4,68.7,1,1,2,112
2930,282,14,82.5,1,4,3,143
2931,543,3,27.700000000000003,1,1,1,111
2932,285,17,88.50000000000001,1,4,3,143
2933,268,8,56.800000000000004,2,2,2,222
2934,108,9,58.5,3,2,2,322
2935,355,10,62.70000000000001,1,3,2,132
2936,205,5,58.4,2,1,2,212
2937,152,17,102.16,2,4,3,243
2938,188,7,88.79999999999998,2,2,3,223
2939,149,8,55.800000000000004,2,2,2,222
2940,53,11,74.19999999999999,4,3,2,432
2941,88,12,45.300000000000004,3,3,2,332
2942,332,12,79.35000000000001,1,3,3,133
2943,193,8,54.230000000000004,2,2,2,222
2944,332,14,135.3,1,4,4,144
2945,164,5,60.800000000000004,2,1,2,212
2946,56,18,162.74,4,4,4,444
2947,167,7,93.09999999999998,2,2,3,223
2948,194,10,80.24,2,3,3,233
2949,577,5,40.260000000000005,1,1,1,111
2950,81,15,125.33999999999999,3,4,4,344
2951,8,7,37.650000000000006,4,2,1,421
2952,35,15,149.36,4,4,4,444
2953,360,3,14.6,1,1,1,111
2954,208,7,29.500000000000004,2,2,1,221
2955,207,15,69.4,2,4,2,242
2956,28,11,60.8,4,3,2,432
2957,33,19,153.56,4,4,4,444
2958,199,10,76.39999999999999,2,3,3,233
2960,11,26,242.84,4,4,4,444
2961,44,20,153.36,4,4,4,444
2962,248,9,43.45,2,2,1,221
2963,582,4,13.2,1,1,1,111
2964,141,12,140.20000000000002,3,3,4,334
2965,571,6,59.45,1,2,2,122
2966,399,6,31.7,1,2,1,121
2967,327,6,38.65,1,2,1,121
2968,74,2,12.64,3,1,1,311
2969,22,8,73.7,4,2,2,422
2970,0,7,33.6,4,2,1,421
2971,337,7,91.62000000000002,1,2,3,123
2972,223,10,87.89999999999999,2,3,3,233
2973,382,12,81.60000000000001,1,3,3,133
2974,4,9,77.7,4,2,3,423
2975,67,13,89.39999999999999,3,3,3,333
2976,211,5,28.21,2,1,1,211
2977,44,12,71.5,4,3,2,432
2978,35,19,133.3,4,4,4,444
2979,143,10,76.85,2,3,3,233
2980,247,7,70.96000000000001,2,2,2,222
2981,27,9,43.8,4,2,1,421
2982,188,12,95.9,2,3,3,233
2983,110,4,66.0,3,1,2,312
2984,309,11,49.39999999999999,1,3,2,132
2985,215,6,21.500000000000004,2,2,1,221
2986,225,17,95.10000000000001,2,4,3,243
2987,623,2,20.6,1,1,1,111
2988,77,2,10.200000000000001,3,1,1,311
2989,334,12,84.69999999999999,1,3,3,133
2990,140,24,303.60999999999996,3,4,4,344
2991,317,12,111.77999999999999,1,3,3,133
2992,51,3,15.6,4,1,1,411
2993,239,15,296.96,2,4,4,244
2994,536,6,58.7,1,2,2,122
2995,315,5,35.59,1,1,1,111
2996,95,14,187.79999999999998,3,4,4,344
2997,0,16,144.86999999999998,4,4,4,444
2998,169,5,18.6,2,1,1,211
2999,149,8,76.3,2,2,3,223
3000,495,2,15.399999999999999,1,1,1,111
3001,6,4,25.200000000000003,4,1,1,411
3002,139,17,141.60000000000002,3,4,4,344
3003,601,6,46.04,1,2,2,122
3004,323,4,30.35,1,1,1,111
3005,171,11,99.1,2,3,3,233
3006,3,7,59.300000000000004,4,2,2,422
3007,393,4,10.7,1,1,1,111
3008,539,5,27.3,1,1,1,111
3009,138,14,78.09999999999998,3,4,3,343
3010,138,11,65.44,3,3,2,332
3011,191,11,45.7,2,3,2,232
3012,101,6,27.9,3,2,1,321
3013,131,13,82.3,3,3,3,333
3014,49,17,256.0,4,4,4,444
3015,81,10,79.3,3,3,3,333
3016,29,7,40.00000000000001,4,2,1,421
3017,93,6,70.8,3,2,2,322
3018,186,6,28.8,2,2,1,221
3019,11,5,31.4,4,1,1,411
3020,125,8,61.3,3,2,2,322
3021,334,10,58.3,1,3,2,132
3022,45,9,96.4,4,2,3,423
3023,155,9,68.8,2,2,2,222
3024,372,5,54.2,1,1,2,112
3025,72,11,131.0,3,3,4,334
3026,340,15,54.850000000000016,1,4,2,142
3027,106,9,74.89999999999999,3,2,2,322
3028,204,15,178.20000000000002,2,4,4,244
3029,213,6,89.36,2,2,3,223
3030,381,10,101.4,1,3,3,133
3031,12,15,187.8,4,4,4,444
3032,208,4,24.55,2,1,1,211
3033,461,8,75.0,1,2,3,123
3034,222,10,73.5,2,3,2,232
3035,31,13,74.9,4,3,3,433
3036,103,17,85.94,3,4,3,343
3037,310,5,21.099999999999998,1,1,1,111
3038,353,12,76.30000000000001,1,3,3,133
3039,32,10,40.949999999999996,4,3,1,431
3040,445,4,54.4,1,1,2,112
3041,106,14,123.49,3,4,4,344
3042,3,22,123.10000000000001,4,4,4,444
3043,359,2,41.4,1,1,1,111
3044,92,19,120.62,3,4,4,344
3045,279,11,143.15,2,3,4,234
3046,42,23,163.8,4,4,4,444
3047,114,5,28.300000000000004,3,1,1,311
3048,20,19,233.99999999999997,4,4,4,444
3049,328,4,82.9,1,1,3,113
3050,15,33,222.7,4,4,4,444
3051,31,15,105.6,4,4,3,443
3052,179,5,22.049999999999997,2,1,1,211
3053,5,9,82.2,4,2,3,423
3054,185,18,123.6,2,4,4,244
3055,134,7,59.4,3,2,2,322
3056,137,4,33.400000000000006,3,1,1,311
3057,532,5,35.099999999999994,1,1,1,111
3058,156,8,72.4,2,2,2,222
3059,382,9,86.53999999999999,1,2,3,123
3060,178,7,45.39999999999999,2,2,2,222
3061,25,8,42.35,4,2,1,421
3062,151,11,98.82,2,3,3,233
3063,2,10,78.2,4,3,3,433
3064,362,4,16.4,1,1,1,111
3065,367,7,46.95,1,2,2,122
3066,24,12,72.0,4,3,2,432
3067,33,10,118.08,4,3,4,434
3068,194,7,54.1,2,2,2,222
3069,265,6,30.800000000000004,2,2,1,221
3071,200,15,143.85000000000002,2,4,4,244
3072,205,17,144.64999999999998,2,4,4,244
3073,347,5,30.000000000000004,1,1,1,111
3074,261,5,40.14000000000001,2,1,1,211
3075,76,6,40.2,3,2,1,321
3076,22,4,45.7,4,1,2,412
3077,121,17,148.00999999999996,3,4,4,344
3078,120,5,27.299999999999997,3,1,1,311
3079,295,9,85.10000000000001,1,2,3,123
3080,683,2,7.8500000000000005,1,1,1,111
3081,463,15,128.03,1,4,4,144
3082,96,26,156.14999999999998,3,4,4,344
3083,467,10,92.95,1,3,3,133
